address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant
0x6c6d2cb51f0384e6f1df13159cbe2ecef5a4f1d5,0.0586,68,4.829613205602302,0.0,0.0,0.016,321,1,3,True
0x091a176b06499e13030e5781f37897f755c04ef0,0.00171,68,5.26329883139184,4.4,83.6,0.5,98,21,23,False
0xdedd2899c6ff5cafa755d8bc467f221e9834b7be,0.00663,0,27.419775719706475,27.419775719706475,100.0,7.692,208,42,58,False
0x81c55ceca5d837d28632fcde855f4ff12b8230ca,0.00017,68,34.161111492807784,0.0,0.0,0.047,321,6,6,True
0x9b39ddd9902c3a1a1a22ede02b2e6e4c395dcc14,0.00473,68,4.196381898692046,0.0,0.0,0.012,309,1,2,True
0xdd1d24212a8f69a78b909551f612010c949a68f1,0.00369,68,4.573601123752109,0.0,0.0,0.68,127,34,49,False
0x1411bbb9222a1b94e4bc23e1270faa8a4aea034d,0.04971,68,11.556986340684716,0.0,0.0,0.658,480,25,75,False
0x9b4c12f42a0d014a414234c47a6cccf6e3549bab,0.00158,68,7.157347259820298,0.0022,0.03,2.0,116,43,57,False
0xe652e252c2c2e3360db603a125a6c57a2d1bb981,0.00703,5,5.573091208265574,5.6928146703708284,100.0,0.529,150,34,38,False
0xdbb643740ce08ad124dd5ca747845fe798f12624,0.09243,68,4.95340366742462,0.0,0.0,0.155,322,20,24,True
0x8b0c79c086009806a35fd1c6a4a925a0cfda6a0b,0.00026,68,8.92913119632199,5.01,56.11,2.326,174,44,56,False
0xf2e36b1f99e034306270f86e1a63e7ba64713e6c,0.0021,61,14.42919998218669,29.0,100.0,0.359,237,44,39,False
0x2549771fbf0b1cebdf1c8e377bbad744e0785c05,0.048,68,77.86261719730182,0.0,0.0,0.027,218,0,4,True
0xf6fb4323857f8f8db50c9e98db8c076786e2f051,0.00398,68,3.945934051850697,0.0,0.0,0.759,96,28,32,False
0x84a547d1a2523d5095cc876768017253a5afa599,0.00086,68,3.172515788003433,0.0,0.0,1.154,106,36,39,False
