address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant,duration
0xc58550d4e678dec64d018f697b57c6d6b0897926,0.00024,68,8.554878544853654,0.0,0.0,0.061,494,14,15,True,Over 4 weeks
0xb120999ac0ebaf972d6f137034d7a2e682108fba,0.00083,68,2.9936233711783924,0.0,0.0,1.465,111,30,33,False,Over 4 weeks
0xce558aa697e6e2d25a99d6a3cd53c029155c2d04,0.00159,68,5.317289660546929,0.0,0.0,1.545,101,23,28,False,Over 4 weeks
0xc6a51530c0801e69d5e2d3a84da0ddeafc03851c,0.01935,68,2.3556106814718496,0.0,0.0,0.098,160,3,6,True,Over 4 weeks
0xb7d9945166e3da89ee4c0947230753d656d116a5,2.47611,68,4.236914048918278,0.0,0.0,0.042,447,7,9,True,Over 4 weeks
0xd07ab85ac96651bfffa8853ce737e3a87dd5bd56,1e-05,4,9.931601982695415,63.56617010869542,100.0,8.333,195,50,50,False,Less than a week
0xdce29c7f6611ba8d730c09438a591ec7764f669d,0.01149,7,3.434095765518149,6.277417714017166,100.0,0.824,113,42,42,False,Less than a week
0x96a3ffd7ea4bdcbd706c55027d97eb5c53a0f28c,0.00975,34,212.73244550101813,1261.4335864819554,100.0,0.026,228,1,4,True,Over 4 weeks
0x850caea9a14f36cda2e8cecefefaf5a97e7e7b09,0.012,68,3.5680696538742525,0.01,0.28,1.486,95,26,29,False,Over 4 weeks
0x8c69f8d2f360d0bd12cb73b92e90a380e32987bb,0.00406,68,73.72037771094513,10.0,13.56,0.251,499,54,46,True,Over 4 weeks
0x5d4675b3e78fe0d8f61f92d54b2a8e05a39d5185,0.0022,36,2.962665591891036,4.712,100.0,0.639,115,28,25,False,Over 4 weeks
0x4bb24ce37ab8a1d87448788c1794f1a3513efc9b,0.09379,48,240.32486772764884,1017.1922298080898,100.0,0.036,491,5,12,True,Over 4 weeks
0xea1ca9c2b8ad43427b95c691648ea23155ae4eec,0.00399,1,6.209013871804836,42.857339651998565,100.0,0.186,316,29,20,False,Less than a week
0xb319e3bd2e8394e62e96c612c6741612f9ce2aaa,0.04242,68,3.761511905347149,0.0,0.0,0.053,314,5,8,False,Over 4 weeks
0x4736a6de79fb78094ea1aa1c1886310ea0963edd,0.0002,68,86.84923007653188,0.0,0.0,0.016,320,0,4,True,Over 4 weeks
0x2d9352ef300faa9376ebcb400c54945aadcc3f5b,0.00982,68,4.069676020980759,0.0,0.0,1.846,94,23,25,False,Over 4 weeks
0x6c6d2cb51f0384e6f1df13159cbe2ecef5a4f1d5,0.0586,68,4.829613205602302,0.0,0.0,0.016,321,1,3,True,Over 4 weeks
0x091a176b06499e13030e5781f37897f755c04ef0,0.00171,68,5.26329883139184,4.4,83.6,0.5,98,21,23,False,Over 4 weeks
0xdedd2899c6ff5cafa755d8bc467f221e9834b7be,0.00663,0,27.419775719706475,27.419775719706475,100.0,7.692,208,42,58,False,Less than a week
0x81c55ceca5d837d28632fcde855f4ff12b8230ca,0.00017,68,34.161111492807784,0.0,0.0,0.047,321,6,6,True,Over 4 weeks
0x9b39ddd9902c3a1a1a22ede02b2e6e4c395dcc14,0.00473,68,4.196381898692046,0.0,0.0,0.012,309,1,2,True,Over 4 weeks
0xdd1d24212a8f69a78b909551f612010c949a68f1,0.00369,68,4.573601123752109,0.0,0.0,0.68,127,34,49,False,Over 4 weeks
0x1411bbb9222a1b94e4bc23e1270faa8a4aea034d,0.04971,68,11.556986340684716,0.0,0.0,0.658,480,25,75,False,Over 4 weeks
0x9b4c12f42a0d014a414234c47a6cccf6e3549bab,0.00158,68,7.157347259820298,0.0022,0.03,2.0,116,43,57,False,Over 4 weeks
0xe652e252c2c2e3360db603a125a6c57a2d1bb981,0.00703,5,5.573091208265574,5.6928146703708284,100.0,0.529,150,34,38,False,Less than a week
0xdbb643740ce08ad124dd5ca747845fe798f12624,0.09243,68,4.95340366742462,0.0,0.0,0.155,322,20,24,True,Over 4 weeks
0x8b0c79c086009806a35fd1c6a4a925a0cfda6a0b,0.00026,68,8.92913119632199,5.01,56.11,2.326,174,44,56,False,Over 4 weeks
